county,population,Metric_Type,prop_comfortable,prop_okay,prop_just,prop_difficult,total
Modoc,H,Improved Metric,0.33,0.28,0.26,0.13,1
Mono,H,Improved Metric,0.25,0.39,0.05,0.31,1
Monterey,H,Improved Metric,0.21,0.41,0.06,0.32,1
Napa,H,Improved Metric,0.46,0.27,0.26,0.01,1
Nevada,H,Improved Metric,0.16,0.22,0.19,0.43,1
Orange,H,Improved Metric,0.35,0.04,0.25,0.36,1
Placer,H,Improved Metric,0.09,0.51,0.1,0.29,1
Plumas,H,Improved Metric,0.3,0.11,0.57,0.02,1
Riverside,H,Improved Metric,0.04,0.29,0.29,0.38,1
Sacramento,H,Improved Metric,0.08,0.15,0.24,0.52,1
San Benito,H,Improved Metric,0.17,0.38,0.4,0.05,1
San Bernardino,H,Improved Metric,0.38,0.08,0.19,0.35,1
San Diego,H,Improved Metric,0.28,0.1,0.25,0.37,1
San Francisco,H,Improved Metric,0.11,0.56,0.26,0.07,1
San Joaquin,H,Improved Metric,0.32,0.3,0.25,0.13,1
San Luis Obispo,H,Improved Metric,0.43,0.03,0.25,0.3,1
San Mateo,H,Improved Metric,0.23,0.27,0.22,0.28,1
Santa Barbara,H,Improved Metric,0.13,0.11,0.25,0.51,1
Santa Clara,H,Improved Metric,0.21,0.35,0.43,0.01,1
Santa Cruz,H,Improved Metric,0.26,0.18,0.22,0.33,1
Shasta,H,Improved Metric,0.27,0.29,0.01,0.43,1
Sierra,H,Improved Metric,0.15,0.31,0.16,0.38,1
Siskiyou,H,Improved Metric,0.12,0.24,0.22,0.41,1
Solano,H,Improved Metric,0.04,0.68,0.28,0,1
Sonoma,H,Improved Metric,0.13,0.53,0.29,0.05,1
Stanislaus,H,Improved Metric,0.3,0.13,0.29,0.28,1
Sutter,H,Improved Metric,0.34,0.25,0.32,0.09,1
Tehama,H,Improved Metric,0.63,0.29,0.06,0.03,1
Trinity,H,Improved Metric,0.12,0.34,0.09,0.45,1
Tulare,H,Improved Metric,0.09,0.16,0.22,0.53,1
Tuolumne,H,Improved Metric,0.45,0,0.14,0.4,1
Ventura,H,Improved Metric,0.35,0.02,0.58,0.05,1
Yolo,H,Improved Metric,0.52,0.07,0.16,0.25,1
Yuba,H,Improved Metric,0.07,0.33,0.42,0.18,1
Alameda,I,Improved Metric,0.25,0.2,0.37,0.18,1
Alpine,I,Improved Metric,0.12,0.37,0.26,0.25,1
Amador,I,Improved Metric,0.09,0.22,0.34,0.36,1
Butte,I,Improved Metric,0.37,0.1,0,0.53,1
Calaveras,I,Improved Metric,0.16,0.34,0.43,0.07,1
Colusa,I,Improved Metric,0.28,0.31,0.31,0.1,1
Contra Costa,I,Improved Metric,0.05,0.43,0.06,0.45,1
Del Norte,I,Improved Metric,0.3,0.18,0.17,0.36,1
El Dorado,I,Improved Metric,0.19,0.19,0.31,0.31,1
Fresno,I,Improved Metric,0.39,0.34,0.24,0.04,1
Glenn,I,Improved Metric,0.26,0.35,0.34,0.05,1
Humboldt,I,Improved Metric,0.21,0.43,0.19,0.16,1
Imperial,I,Improved Metric,0.39,0.11,0.35,0.16,1
Inyo,I,Improved Metric,0,0.22,0.56,0.22,1
Kern,I,Improved Metric,0.16,0.08,0.2,0.56,1
Kings,I,Improved Metric,0.27,0.31,0.35,0.07,1
Lake,I,Improved Metric,0.2,0.1,0.13,0.56,1
Lassen,I,Improved Metric,0.28,0.29,0.19,0.24,1
Los Angeles,I,Improved Metric,0.14,0.34,0.11,0.41,1
Madera,I,Improved Metric,0.29,0.39,0.03,0.29,1
Marin,I,Improved Metric,0.38,0.19,0.31,0.11,1
Mariposa,I,Improved Metric,0.07,0.56,0.36,0.01,1
Mendocino,I,Improved Metric,0.1,0.61,0.26,0.03,1
Merced,I,Improved Metric,0.26,0.33,0.35,0.06,1
Modoc,I,Improved Metric,0.19,0.17,0.26,0.38,1
Mono,I,Improved Metric,0.43,0.05,0.49,0.02,1
Monterey,I,Improved Metric,0.4,0.11,0.37,0.11,1
Napa,I,Improved Metric,0.03,0.35,0.19,0.43,1
Nevada,I,Improved Metric,0.22,0.17,0.35,0.26,1
Orange,I,Improved Metric,0.26,0.14,0.3,0.3,1
Placer,I,Improved Metric,0.04,0.02,0.46,0.48,1
Plumas,I,Improved Metric,0.43,0.22,0.06,0.3,1
Riverside,I,Improved Metric,0.31,0.15,0.05,0.49,1
Sacramento,I,Improved Metric,0.02,0.31,0.34,0.34,1
San Benito,I,Improved Metric,0.33,0.04,0.19,0.45,1
San Bernardino,I,Improved Metric,0.28,0.28,0.25,0.19,1
San Diego,I,Improved Metric,0.19,0.46,0.28,0.07,1
San Francisco,I,Improved Metric,0.26,0.03,0.27,0.44,1
San Joaquin,I,Improved Metric,0.14,0.13,0.34,0.39,1
San Luis Obispo,I,Improved Metric,0.05,0.37,0.51,0.08,1
San Mateo,I,Improved Metric,0.2,0.42,0.06,0.32,1
Santa Barbara,I,Improved Metric,0.09,0.21,0.19,0.51,1
Santa Clara,I,Improved Metric,0.22,0.38,0.32,0.09,1
Santa Cruz,I,Improved Metric,0.33,0.26,0.14,0.27,1
Shasta,I,Improved Metric,0.45,0.2,0.3,0.05,1
Sierra,I,Improved Metric,0.27,0.22,0.29,0.22,1
Siskiyou,I,Improved Metric,0.21,0.28,0.27,0.24,1
Solano,I,Improved Metric,0.05,0.37,0.37,0.21,1
Sonoma,I,Improved Metric,0.39,0.02,0.32,0.27,1
Stanislaus,I,Improved Metric,0.13,0.25,0.28,0.34,1
Sutter,I,Improved Metric,0.37,0.1,0.23,0.3,1
Tehama,I,Improved Metric,0.13,0.49,0.28,0.11,1
Trinity,I,Improved Metric,0.18,0.21,0.33,0.28,1
Tulare,I,Improved Metric,0.3,0.24,0.2,0.26,1
Tuolumne,I,Improved Metric,0.04,0.35,0.43,0.18,1
Ventura,I,Improved Metric,0.34,0.12,0.36,0.18,1
Yolo,I,Improved Metric,0.24,0.18,0.35,0.24,1
Yuba,I,Improved Metric,0.17,0.25,0.19,0.39,1
Alameda,J,Improved Metric,0.11,0.36,0.31,0.22,1
Alpine,J,Improved Metric,0.02,0.17,0.38,0.42,1
Amador,J,Improved Metric,0.3,0.18,0.35,0.17,1
Butte,J,Improved Metric,0.44,0.02,0.45,0.09,1
Calaveras,J,Improved Metric,0.29,0.17,0.24,0.29,1
Colusa,J,Improved Metric,0.03,0.67,0.29,0.01,1
Contra Costa,J,Improved Metric,0.38,0.29,0.11,0.22,1
Del Norte,J,Improved Metric,0.13,0.39,0.08,0.4,1
El Dorado,J,Improved Metric,0.36,0.19,0.36,0.1,1
Fresno,J,Improved Metric,0.34,0.04,0.13,0.49,1
Glenn,J,Improved Metric,0.36,0.21,0.4,0.03,1
Humboldt,J,Improved Metric,0.41,0.44,0.02,0.13,1
Imperial,J,Improved Metric,0.02,0.44,0.41,0.13,1
Inyo,J,Improved Metric,0.25,0.29,0.14,0.32,1
Kern,J,Improved Metric,0.13,0.35,0.17,0.36,1
Kings,J,Improved Metric,0.26,0.21,0.3,0.23,1
Lake,J,Improved Metric,0.31,0.29,0.23,0.17,1
Lassen,J,Improved Metric,0.17,0.12,0.46,0.25,1
Los Angeles,J,Improved Metric,0.32,0.29,0.31,0.08,1
Madera,J,Improved Metric,0.08,0.07,0.18,0.67,1
Marin,J,Improved Metric,0.4,0.22,0.03,0.36,1
Mariposa,J,Improved Metric,0.14,0.46,0.16,0.24,1
Mendocino,J,Improved Metric,0.26,0.29,0.23,0.23,1
Merced,J,Improved Metric,0.3,0.22,0.24,0.24,1
Modoc,J,Improved Metric,0.05,0.08,0.4,0.47,1
Mono,J,Improved Metric,0.29,0.2,0.31,0.2,1
Monterey,J,Improved Metric,0.37,0.45,0,0.18,1
Napa,J,Improved Metric,0.19,0.3,0.18,0.33,1
Nevada,J,Improved Metric,0.15,0.13,0.3,0.41,1
Orange,J,Improved Metric,0.25,0.08,0.12,0.54,1
Placer,J,Improved Metric,0.73,0.09,0.02,0.16,1
Plumas,J,Improved Metric,0.35,0.35,0.06,0.24,1
Riverside,J,Improved Metric,0.25,0.17,0.35,0.23,1
Sacramento,J,Improved Metric,0.18,0.29,0.26,0.28,1
San Benito,J,Improved Metric,0.37,0.31,0.18,0.13,1
San Bernardino,J,Improved Metric,0.25,0.25,0.13,0.37,1
San Diego,J,Improved Metric,0.21,0.39,0.1,0.31,1
San Francisco,J,Improved Metric,0.01,0.06,0.54,0.38,1
San Joaquin,J,Improved Metric,0.02,0.43,0.26,0.29,1
San Luis Obispo,J,Improved Metric,0.36,0.15,0.27,0.23,1
San Mateo,J,Improved Metric,0.25,0.18,0.29,0.28,1
Santa Barbara,J,Improved Metric,0.12,0.19,0.38,0.31,1
Santa Clara,J,Improved Metric,0.33,0.04,0.13,0.5,1
Santa Cruz,J,Improved Metric,0.27,0.32,0.38,0.03,1
Shasta,J,Improved Metric,0.21,0.1,0.38,0.3,1
Sierra,J,Improved Metric,0.48,0.39,0.03,0.11,1
Siskiyou,J,Improved Metric,0.29,0.23,0.33,0.16,1
Solano,J,Improved Metric,0.32,0.07,0.31,0.3,1
Sonoma,J,Improved Metric,0.3,0.53,0.06,0.11,1
Stanislaus,J,Improved Metric,0.31,0.15,0.33,0.2,1
Sutter,J,Improved Metric,0.56,0.03,0.04,0.38,1
Tehama,J,Improved Metric,0.23,0.51,0.09,0.17,1
Trinity,J,Improved Metric,0.41,0.38,0.01,0.2,1
Tulare,J,Improved Metric,0.29,0.25,0.16,0.3,1
Tuolumne,J,Improved Metric,0.17,0.12,0.3,0.41,1
Ventura,J,Improved Metric,0.01,0.49,0.4,0.1,1
Yolo,J,Improved Metric,0.27,0.45,0.23,0.06,1
Yuba,J,Improved Metric,0.24,0.43,0.04,0.29,1
Alameda,A,Traditional Metric,0.42,0.06,0.46,0.06,1
Alpine,A,Traditional Metric,0.32,0.38,0.22,0.08,1
Amador,A,Traditional Metric,0.35,0.23,0.29,0.14,1
Butte,A,Traditional Metric,0.4,0.01,0.31,0.29,1
Calaveras,A,Traditional Metric,0.34,0.05,0.32,0.28,1
Colusa,A,Traditional Metric,0.1,0,0.42,0.47,1
Contra Costa,A,Traditional Metric,0.1,0.29,0.32,0.28,1
Del Norte,A,Traditional Metric,0.31,0.37,0.19,0.13,1
El Dorado,A,Traditional Metric,0.41,0.39,0.13,0.08,1
Fresno,A,Traditional Metric,0.27,0.17,0.34,0.22,1
Glenn,A,Traditional Metric,0.19,0.35,0.25,0.2,1
Humboldt,A,Traditional Metric,0.03,0.42,0.22,0.32,1
Imperial,A,Traditional Metric,0.32,0.26,0.27,0.16,1
Inyo,A,Traditional Metric,0.1,0.53,0.26,0.11,1
Kern,A,Traditional Metric,0.03,0.34,0.32,0.31,1
Kings,A,Traditional Metric,0.29,0.17,0.21,0.33,1
Lake,A,Traditional Metric,0.17,0.29,0.26,0.28,1
Lassen,A,Traditional Metric,0.15,0.17,0.31,0.37,1
Los Angeles,A,Traditional Metric,0.38,0.19,0.28,0.16,1
Madera,A,Traditional Metric,0.01,0.41,0.31,0.27,1
Marin,A,Traditional Metric,0.15,0.42,0.12,0.32,1
Mariposa,A,Traditional Metric,0.51,0.01,0.45,0.03,1
Mendocino,A,Traditional Metric,0.12,0.09,0.4,0.39,1
Merced,A,Traditional Metric,0.17,0.26,0.12,0.44,1
Modoc,A,Traditional Metric,0.13,0.32,0.52,0.04,1
Mono,A,Traditional Metric,0.29,0.36,0.03,0.32,1
Monterey,A,Traditional Metric,0.07,0.41,0.34,0.18,1
Napa,A,Traditional Metric,0.29,0.12,0.34,0.25,1
Nevada,A,Traditional Metric,0.14,0.29,0.27,0.3,1
Orange,A,Traditional Metric,0.14,0.35,0.25,0.26,1
Placer,A,Traditional Metric,0.31,0.33,0.21,0.15,1
Plumas,A,Traditional Metric,0.08,0.54,0.12,0.26,1
Riverside,A,Traditional Metric,0.02,0.13,0.42,0.43,1
Sacramento,A,Traditional Metric,0.57,0.35,0.05,0.03,1
San Benito,A,Traditional Metric,0.28,0.13,0.36,0.23,1
San Bernardino,A,Traditional Metric,0.36,0.21,0.17,0.27,1
San Diego,A,Traditional Metric,0.47,0.12,0.3,0.12,1
San Francisco,A,Traditional Metric,0.32,0.11,0.16,0.41,1
San Joaquin,A,Traditional Metric,0.49,0.33,0.1,0.08,1
San Luis Obispo,A,Traditional Metric,0.03,0.29,0.33,0.35,1
San Mateo,A,Traditional Metric,0.48,0.09,0.21,0.22,1
Santa Barbara,A,Traditional Metric,0.41,0.13,0.41,0.06,1
Santa Clara,A,Traditional Metric,0.4,0.37,0.05,0.19,1
Santa Cruz,A,Traditional Metric,0.18,0.3,0.03,0.49,1
Shasta,A,Traditional Metric,0.04,0.12,0.15,0.7,1
Sierra,A,Traditional Metric,0.21,0.04,0.54,0.2,1
Siskiyou,A,Traditional Metric,0.1,0.37,0.17,0.36,1
Solano,A,Traditional Metric,0.33,0.14,0.26,0.27,1
Sonoma,A,Traditional Metric,0.23,0.43,0.02,0.32,1
Stanislaus,A,Traditional Metric,0.13,0.35,0.19,0.33,1
Sutter,A,Traditional Metric,0.45,0.14,0.03,0.38,1
Tehama,A,Traditional Metric,0.45,0.02,0.33,0.19,1
Trinity,A,Traditional Metric,0.19,0.25,0.36,0.2,1
Tulare,A,Traditional Metric,0.31,0.35,0.08,0.25,1
Tuolumne,A,Traditional Metric,0.07,0.25,0.19,0.49,1
Ventura,A,Traditional Metric,0.12,0.19,0.49,0.2,1
Yolo,A,Traditional Metric,0.43,0.29,0.01,0.26,1
Yuba,A,Traditional Metric,0.25,0.32,0.26,0.17,1
Alameda,B,Traditional Metric,0.33,0.24,0.18,0.24,1
Alpine,B,Traditional Metric,0.22,0.27,0.04,0.47,1
Amador,B,Traditional Metric,0.24,0.06,0.36,0.34,1
Butte,B,Traditional Metric,0.3,0.32,0.07,0.31,1
Calaveras,B,Traditional Metric,0.44,0.11,0.37,0.08,1
Colusa,B,Traditional Metric,0.21,0.37,0.24,0.18,1
Contra Costa,B,Traditional Metric,0.04,0.27,0.29,0.4,1
Del Norte,B,Traditional Metric,0.35,0.03,0.1,0.52,1
El Dorado,B,Traditional Metric,0.23,0.3,0.27,0.2,1
Fresno,B,Traditional Metric,0.06,0.39,0.03,0.53,1
Glenn,B,Traditional Metric,0.15,0.44,0.11,0.29,1
Humboldt,B,Traditional Metric,0.43,0.36,0.18,0.03,1
Imperial,B,Traditional Metric,0.36,0.13,0.37,0.14,1
Inyo,B,Traditional Metric,0.39,0.25,0.16,0.2,1
Kern,B,Traditional Metric,0.24,0.4,0.14,0.22,1
Kings,B,Traditional Metric,0.25,0.3,0.03,0.41,1
Lake,B,Traditional Metric,0.31,0.2,0.21,0.27,1
Lassen,B,Traditional Metric,0.48,0.26,0.25,0,1
Los Angeles,B,Traditional Metric,0.36,0.24,0.39,0.01,1
Madera,B,Traditional Metric,0.06,0.48,0.15,0.31,1
Marin,B,Traditional Metric,0.23,0.27,0.38,0.12,1
Mariposa,B,Traditional Metric,0.29,0,0.02,0.68,1
Mendocino,B,Traditional Metric,0.25,0.3,0.23,0.22,1
Merced,B,Traditional Metric,0.38,0.19,0.11,0.32,1
Modoc,B,Traditional Metric,0.16,0.16,0.18,0.51,1
Mono,B,Traditional Metric,0.36,0.44,0.1,0.09,1
Monterey,B,Traditional Metric,0.2,0.45,0.18,0.18,1
Napa,B,Traditional Metric,0.03,0.34,0.36,0.27,1
Nevada,B,Traditional Metric,0.42,0.02,0.44,0.12,1
Orange,B,Traditional Metric,0.1,0.56,0.2,0.14,1
Placer,B,Traditional Metric,0.31,0.34,0.07,0.28,1
Plumas,B,Traditional Metric,0.1,0.44,0.38,0.08,1
Riverside,B,Traditional Metric,0.01,0.57,0.38,0.03,1
Sacramento,B,Traditional Metric,0.38,0.36,0.25,0.01,1
San Benito,B,Traditional Metric,0.03,0.35,0.31,0.31,1
San Bernardino,B,Traditional Metric,0.18,0.13,0.18,0.51,1
San Diego,B,Traditional Metric,0.32,0.02,0.65,0.01,1
San Francisco,B,Traditional Metric,0.36,0.19,0.08,0.36,1
San Joaquin,B,Traditional Metric,0.31,0.25,0.33,0.12,1
San Luis Obispo,B,Traditional Metric,0.17,0.26,0.06,0.51,1
San Mateo,B,Traditional Metric,0.22,0.46,0.21,0.1,1
Santa Barbara,B,Traditional Metric,0.16,0.27,0.24,0.33,1
Santa Clara,B,Traditional Metric,0.53,0.25,0.15,0.08,1
Santa Cruz,B,Traditional Metric,0.32,0.21,0.42,0.05,1
Shasta,B,Traditional Metric,0.47,0.24,0.21,0.08,1
Sierra,B,Traditional Metric,0.34,0.3,0.24,0.11,1
Siskiyou,B,Traditional Metric,0.43,0.22,0.08,0.27,1
Solano,B,Traditional Metric,0.38,0.01,0.46,0.15,1
Sonoma,B,Traditional Metric,0.22,0.27,0.31,0.19,1
Stanislaus,B,Traditional Metric,0.13,0.17,0.37,0.33,1
Sutter,B,Traditional Metric,0.19,0.3,0.35,0.15,1
Tehama,B,Traditional Metric,0.11,0.12,0.35,0.42,1
Trinity,B,Traditional Metric,0.02,0.47,0.51,0.01,1
Tulare,B,Traditional Metric,0.21,0.28,0.22,0.29,1
Tuolumne,B,Traditional Metric,0.31,0.27,0.37,0.05,1
Ventura,B,Traditional Metric,0.32,0.16,0.1,0.42,1
Yolo,B,Traditional Metric,0.19,0.39,0.13,0.3,1
Yuba,B,Traditional Metric,0.3,0.3,0.02,0.38,1
Alameda,C,Traditional Metric,0.08,0.45,0.39,0.09,1
Alpine,C,Traditional Metric,0.1,0.34,0.43,0.14,1
Amador,C,Traditional Metric,0.2,0.31,0.38,0.1,1
Butte,C,Traditional Metric,0.22,0.58,0.09,0.1,1
Calaveras,C,Traditional Metric,0.32,0.21,0.15,0.32,1
Colusa,C,Traditional Metric,0.11,0.29,0.3,0.31,1
Contra Costa,C,Traditional Metric,0.03,0.12,0.08,0.77,1
Del Norte,C,Traditional Metric,0.3,0.3,0.11,0.29,1
El Dorado,C,Traditional Metric,0.19,0.28,0.44,0.08,1
Fresno,C,Traditional Metric,0.3,0.11,0.41,0.18,1
Glenn,C,Traditional Metric,0.25,0.19,0.41,0.15,1
Humboldt,C,Traditional Metric,0.17,0.39,0.42,0.01,1
Imperial,C,Traditional Metric,0.13,0.34,0.26,0.27,1
Inyo,C,Traditional Metric,0.16,0.24,0.34,0.26,1
Kern,C,Traditional Metric,0.34,0.15,0.38,0.13,1
Kings,C,Traditional Metric,0.22,0.34,0.18,0.27,1
Lake,C,Traditional Metric,0.45,0.17,0.27,0.11,1
Lassen,C,Traditional Metric,0.35,0.18,0.1,0.37,1
Los Angeles,C,Traditional Metric,0.25,0.12,0.39,0.25,1
Madera,C,Traditional Metric,0.21,0.51,0.24,0.03,1
Marin,C,Traditional Metric,0,0.25,0.28,0.47,1
Mariposa,C,Traditional Metric,0,0.12,0.08,0.8,1
Mendocino,C,Traditional Metric,0.35,0.32,0.13,0.21,1
Merced,C,Traditional Metric,0.06,0.18,0.46,0.31,1
Modoc,C,Traditional Metric,0.19,0.38,0.24,0.19,1
Mono,C,Traditional Metric,0.76,0.15,0.03,0.05,1
Monterey,C,Traditional Metric,0.35,0.17,0.18,0.3,1
Napa,C,Traditional Metric,0.5,0.14,0.07,0.29,1
Nevada,C,Traditional Metric,0.35,0.03,0.16,0.46,1
Orange,C,Traditional Metric,0.27,0.28,0.26,0.19,1
Placer,C,Traditional Metric,0.45,0.11,0.2,0.24,1
Plumas,C,Traditional Metric,0.25,0.16,0.26,0.34,1
Riverside,C,Traditional Metric,0.35,0.14,0.22,0.3,1
Sacramento,C,Traditional Metric,0.02,0.41,0.54,0.03,1
San Benito,C,Traditional Metric,0.25,0.32,0.35,0.08,1
San Bernardino,C,Traditional Metric,0.31,0.35,0.06,0.29,1
San Diego,C,Traditional Metric,0.29,0.11,0.42,0.18,1
San Francisco,C,Traditional Metric,0.42,0.33,0.02,0.23,1
San Joaquin,C,Traditional Metric,0.11,0.62,0.06,0.21,1
San Luis Obispo,C,Traditional Metric,0.14,0.24,0.36,0.27,1
San Mateo,C,Traditional Metric,0.37,0.18,0.19,0.26,1
Santa Barbara,C,Traditional Metric,0.36,0.3,0.26,0.08,1
Santa Clara,C,Traditional Metric,0.18,0.06,0.41,0.35,1
Santa Cruz,C,Traditional Metric,0,0.28,0.52,0.19,1
Shasta,C,Traditional Metric,0.35,0.16,0.34,0.16,1
Sierra,C,Traditional Metric,0.15,0.28,0.15,0.42,1
Siskiyou,C,Traditional Metric,0.05,0.14,0.61,0.2,1
Solano,C,Traditional Metric,0.34,0.5,0.02,0.14,1
Sonoma,C,Traditional Metric,0.21,0.36,0.32,0.11,1
Stanislaus,C,Traditional Metric,0.23,0.24,0.34,0.19,1
Sutter,C,Traditional Metric,0.33,0.25,0.16,0.26,1
Tehama,C,Traditional Metric,0.03,0.34,0.44,0.19,1
Trinity,C,Traditional Metric,0.24,0.22,0.23,0.31,1
Tulare,C,Traditional Metric,0.42,0.27,0.19,0.12,1
Tuolumne,C,Traditional Metric,0.2,0.04,0.61,0.16,1
Ventura,C,Traditional Metric,0.11,0.26,0.37,0.25,1
Yolo,C,Traditional Metric,0.1,0.39,0.28,0.23,1
Yuba,C,Traditional Metric,0.04,0.32,0.17,0.48,1
Alameda,D,Traditional Metric,0.23,0.26,0.24,0.27,1
Alpine,D,Traditional Metric,0.26,0.04,0.46,0.23,1
Amador,D,Traditional Metric,0.34,0.05,0.4,0.2,1
Butte,D,Traditional Metric,0.39,0.3,0.29,0.02,1
Calaveras,D,Traditional Metric,0.02,0.38,0.35,0.25,1
Colusa,D,Traditional Metric,0.15,0.11,0.51,0.24,1
Contra Costa,D,Traditional Metric,0.19,0.3,0.33,0.18,1
Del Norte,D,Traditional Metric,0.15,0.3,0.06,0.5,1
El Dorado,D,Traditional Metric,0.24,0.41,0.25,0.09,1
Fresno,D,Traditional Metric,0.37,0.38,0.18,0.07,1
Glenn,D,Traditional Metric,0.24,0.23,0.2,0.33,1
Humboldt,D,Traditional Metric,0.15,0.39,0.29,0.18,1
Imperial,D,Traditional Metric,0.06,0.22,0.39,0.34,1
Inyo,D,Traditional Metric,0.45,0.08,0.43,0.04,1
Kern,D,Traditional Metric,0.26,0.2,0.21,0.32,1
Kings,D,Traditional Metric,0.26,0.38,0.03,0.33,1
Lake,D,Traditional Metric,0.28,0.16,0.29,0.27,1
Lassen,D,Traditional Metric,0.34,0.19,0.31,0.16,1
Los Angeles,D,Traditional Metric,0.45,0.02,0.32,0.21,1
Madera,D,Traditional Metric,0.41,0.02,0.09,0.47,1
Marin,D,Traditional Metric,0.1,0.04,0.6,0.26,1
Mariposa,D,Traditional Metric,0.13,0.08,0.31,0.47,1
Mendocino,D,Traditional Metric,0.23,0.32,0.04,0.41,1
Merced,D,Traditional Metric,0.22,0.44,0.03,0.31,1
Modoc,D,Traditional Metric,0.3,0.13,0.22,0.35,1
Mono,D,Traditional Metric,0.38,0.35,0.08,0.19,1
Monterey,D,Traditional Metric,0.16,0.32,0.3,0.22,1
Napa,D,Traditional Metric,0.32,0.11,0.39,0.17,1
Nevada,D,Traditional Metric,0.03,0.03,0.38,0.57,1
Orange,D,Traditional Metric,0.24,0.24,0.26,0.26,1
Placer,D,Traditional Metric,0.63,0.05,0.12,0.21,1
Plumas,D,Traditional Metric,0.17,0.31,0.2,0.32,1
Riverside,D,Traditional Metric,0.1,0.06,0.39,0.44,1
Sacramento,D,Traditional Metric,0.01,0.52,0.1,0.37,1
San Benito,D,Traditional Metric,0.15,0.43,0.42,0,1
San Bernardino,D,Traditional Metric,0.39,0.11,0.1,0.4,1
San Diego,D,Traditional Metric,0.58,0.08,0.06,0.27,1
San Francisco,D,Traditional Metric,0.24,0.33,0.07,0.36,1
San Joaquin,D,Traditional Metric,0.14,0.13,0.41,0.32,1
San Luis Obispo,D,Traditional Metric,0.26,0.14,0.35,0.25,1
San Mateo,D,Traditional Metric,0.5,0.33,0.08,0.09,1
Santa Barbara,D,Traditional Metric,0.21,0.25,0.51,0.03,1
Santa Clara,D,Traditional Metric,0.08,0.29,0.12,0.51,1
Santa Cruz,D,Traditional Metric,0.12,0.33,0.4,0.16,1
Shasta,D,Traditional Metric,0.22,0.34,0.43,0.01,1
Sierra,D,Traditional Metric,0.25,0.15,0.54,0.07,1
Siskiyou,D,Traditional Metric,0.19,0.39,0.1,0.33,1
Solano,D,Traditional Metric,0.22,0.15,0.2,0.44,1
Sonoma,D,Traditional Metric,0.11,0.11,0.74,0.04,1
Stanislaus,D,Traditional Metric,0.02,0.11,0.48,0.38,1
Sutter,D,Traditional Metric,0.22,0.32,0.44,0.01,1
Tehama,D,Traditional Metric,0.34,0.13,0.31,0.22,1
Trinity,D,Traditional Metric,0.28,0.18,0.41,0.13,1
Tulare,D,Traditional Metric,0.31,0.03,0.27,0.4,1
Tuolumne,D,Traditional Metric,0.29,0.37,0.12,0.22,1
Ventura,D,Traditional Metric,0.25,0.21,0.36,0.19,1
Yolo,D,Traditional Metric,0.08,0.34,0.19,0.39,1
Yuba,D,Traditional Metric,0.27,0.34,0.26,0.14,1
Alameda,E,Traditional Metric,0.19,0.24,0.42,0.15,1
Alpine,E,Traditional Metric,0.48,0.3,0.12,0.1,1
Amador,E,Traditional Metric,0.28,0.28,0.21,0.23,1
Butte,E,Traditional Metric,0.15,0.68,0.17,0.01,1
Calaveras,E,Traditional Metric,0.3,0.15,0.41,0.15,1
Colusa,E,Traditional Metric,0.11,0.27,0.2,0.43,1
Contra Costa,E,Traditional Metric,0.23,0.38,0.21,0.18,1
Del Norte,E,Traditional Metric,0.29,0.1,0.35,0.27,1
El Dorado,E,Traditional Metric,0.23,0.25,0.3,0.23,1
Fresno,E,Traditional Metric,0.15,0.22,0.16,0.48,1
Glenn,E,Traditional Metric,0.31,0.07,0.13,0.49,1
Humboldt,E,Traditional Metric,0.4,0.08,0.13,0.39,1
Imperial,E,Traditional Metric,0.32,0.29,0.1,0.29,1
Inyo,E,Traditional Metric,0.07,0.13,0.11,0.69,1
Kern,E,Traditional Metric,0.22,0.2,0.13,0.46,1
Kings,E,Traditional Metric,0.03,0.28,0.56,0.13,1
Lake,E,Traditional Metric,0.2,0.37,0.03,0.4,1
Lassen,E,Traditional Metric,0.46,0.16,0.32,0.06,1
Los Angeles,E,Traditional Metric,0,0.26,0.45,0.28,1
Madera,E,Traditional Metric,0.3,0.07,0.33,0.3,1
Marin,E,Traditional Metric,0.24,0.45,0.3,0.01,1
Mariposa,E,Traditional Metric,0.56,0.12,0.19,0.12,1
Mendocino,E,Traditional Metric,0.46,0.06,0.4,0.08,1
Merced,E,Traditional Metric,0.24,0.37,0.06,0.33,1
Modoc,E,Traditional Metric,0.38,0.16,0.26,0.2,1
Mono,E,Traditional Metric,0.31,0.35,0.04,0.3,1
Monterey,E,Traditional Metric,0.16,0.23,0.17,0.43,1
Napa,E,Traditional Metric,0.07,0.3,0.46,0.17,1
Nevada,E,Traditional Metric,0.57,0.09,0.12,0.22,1
Orange,E,Traditional Metric,0.46,0.09,0.24,0.21,1
Placer,E,Traditional Metric,0.27,0.07,0.35,0.31,1
Plumas,E,Traditional Metric,0.08,0.36,0.16,0.4,1
Riverside,E,Traditional Metric,0.44,0.39,0.06,0.11,1
Sacramento,E,Traditional Metric,0.13,0.32,0.4,0.15,1
San Benito,E,Traditional Metric,0.37,0.19,0.28,0.16,1
San Bernardino,E,Traditional Metric,0.01,0.05,0.47,0.48,1
San Diego,E,Traditional Metric,0.23,0.01,0.21,0.56,1
San Francisco,E,Traditional Metric,0.15,0.26,0.22,0.36,1
San Joaquin,E,Traditional Metric,0.15,0.4,0.28,0.17,1
San Luis Obispo,E,Traditional Metric,0.37,0.14,0.02,0.47,1
San Mateo,E,Traditional Metric,0.42,0.25,0.1,0.23,1
